business_name,review_count,rating,address,price_range,url
AMLI Lindbergh,24,4.0,"2400 Parkland Dr NE Atlanta, GA 30324",0,https://www.yelp.com/biz/amli-lindbergh-atlanta?osq=Apartments
The Pointe at Lindbergh,7,4.5,"485 Lindbergh Pl NE Atlanta, GA 30324",0,https://www.yelp.com/biz/the-pointe-at-lindbergh-atlanta?osq=Apartments
92 West Paces,15,3.5,"92 W Paces Ferry Rd NW Atlanta, GA 30305",0,https://www.yelp.com/biz/92-west-paces-atlanta-2?osq=Apartments
The Residence Buckhead - Atlanta,10,3.0,"297 E Paces Ferry Rd NE Atlanta, GA 30305",0,https://www.yelp.com/biz/the-residence-buckhead-atlanta-atlanta?osq=Apartments
Promove,113,4.5,"2964 Peachtree Rd NW Atlanta, GA 30305",0,https://www.yelp.com/biz/promove-atlanta-10?osq=Apartments
AMLI Lindbergh,24,4.0,"2400 Parkland Dr NE Atlanta, GA 30324",0,https://www.yelp.com/biz/amli-lindbergh-atlanta?osq=Apartments
Westminster at Buckhead,3,4.5,"2900 Pharr Ct S NW Atlanta, GA 30305",0,https://www.yelp.com/biz/westminster-at-buckhead-atlanta-2?osq=Apartments
Camden Buckhead Square,13,4.0,"3097 Maple Dr Atlanta, GA 30305",0,https://www.yelp.com/biz/camden-buckhead-square-atlanta?osq=Apartments
The Monroe,12,3.5,"222 Colonial Homes Dr Atlanta, GA 30309",0,https://www.yelp.com/biz/the-monroe-atlanta?osq=Apartments
Marquis at Buckhead,18,4.0,"214 Colonial Homes Dr NW Atlanta, GA 30309",0,https://www.yelp.com/biz/marquis-at-buckhead-atlanta?osq=Apartments
Wesley Townsend Apartment Homes,3,3.5,"200 Colonial Homes Dr NW Atlanta, GA 30309",0,https://www.yelp.com/biz/wesley-townsend-apartment-homes-atlanta?osq=Apartments
AMLI Lindbergh,24,4.0,"2400 Parkland Dr NE Atlanta, GA 30324",0,https://www.yelp.com/biz/amli-lindbergh-atlanta?osq=Apartments
Westminster at Buckhead,3,4.5,"2900 Pharr Ct S NW Atlanta, GA 30305",0,https://www.yelp.com/biz/westminster-at-buckhead-atlanta-2?osq=Apartments
Camden Buckhead Square,13,4.0,"3097 Maple Dr Atlanta, GA 30305",0,https://www.yelp.com/biz/camden-buckhead-square-atlanta?osq=Apartments
The Monroe,12,3.5,"222 Colonial Homes Dr Atlanta, GA 30309",0,https://www.yelp.com/biz/the-monroe-atlanta?osq=Apartments
Marquis at Buckhead,18,4.0,"214 Colonial Homes Dr NW Atlanta, GA 30309",0,https://www.yelp.com/biz/marquis-at-buckhead-atlanta?osq=Apartments
Wesley Townsend Apartment Homes,3,3.5,"200 Colonial Homes Dr NW Atlanta, GA 30309",0,https://www.yelp.com/biz/wesley-townsend-apartment-homes-atlanta?osq=Apartments
The Collection,25,3.5,"4600 Roswell Rd Sandy Springs, GA 30342",0,https://www.yelp.com/biz/the-collection-sandy-springs?osq=Apartments
